,Date,Open_eurusd,High_eurusd,Low_eurusd,Close_eurusd,Volume_eurusd,Open_eurgbp,High_eurgbp,Low_eurgbp,Close_eurgbp,Volume_eurgbp,Open_gbpusd,High_gbpusd,Low_gbpusd,Close_gbpusd,Volume_gbpusd,Open,High,Low,Close,Adj Close,Volume
0,1993-05-12,1.2138,1.2171,1.2105,1.2152,1181,0.7896,0.7928,0.788,0.7924,681,1.537,1.5445,1.529,1.5338,2781,143.617554,144.384445,143.617554,144.071335,144.071335,0.0
1,1993-05-13,1.2148,1.2158,1.2084,1.2099,991,0.7922,0.7967,0.791,0.7943,931,1.5328,1.536,1.518,1.5225,2571,144.080414,144.348145,142.52394099999998,142.54208400000002,142.54208400000002,0.0
2,1993-05-14,1.2099,1.2216,1.2095,1.219,1511,0.7941,0.7958,0.7915,0.7929,741,1.5228,1.5415,1.52,1.5387,2711,142.469482,142.469482,141.217041,141.416718,141.416718,0.0
3,1993-05-17,1.22,1.2205,1.2095,1.2119,1391,0.7914,0.7924,0.7886,0.789,521,1.5365,1.546,1.5309,1.5355,2921,141.39856,141.39856,140.27771,140.43653899999998,140.43653899999998,0.0
4,1993-05-18,1.2133,1.2133,1.2014,1.2034,1391,0.7892,0.791,0.7833,0.7837,991,1.535,1.538,1.5237,1.5365,2711,140.472839,141.07637,140.064438,140.087128,140.087128,0.0
5,1993-05-19,1.2043,1.2114,1.2002,1.2051,2161,0.7842,0.7859,0.7796,0.7804,881,1.535,1.5482,1.5328,1.5432,2261,140.114349,140.19603,138.312836,138.39906299999998,138.39906299999998,0.0
6,1993-05-20,1.2048,1.2137,1.2036,1.2092,1581,0.7801,0.7834,0.777,0.777,971,1.5425,1.5603,1.5383,1.5565,3001,,,,,,
7,1993-05-21,1.2051,1.2111,1.1993,1.2025,2101,0.7776,0.7803,0.7754,0.7794,801,1.5548,1.5592,1.539,1.5425,2811,138.46258500000002,139.424606,138.140396,138.621414,138.621414,0.0
8,1993-05-24,1.2031,1.2031,1.1907,1.1951,1681,0.78,0.7805,0.7762,0.7768,541,1.54,1.545,1.5289,1.5365,2871,138.621414,139.39283799999998,138.35368300000002,139.383759,139.383759,0.0
9,1993-05-25,1.1952,1.2032,1.1948,1.2003,1171,0.7764,0.78,0.7758,0.7778,701,1.5385,1.547,1.5345,1.542,2151,139.401917,141.13536100000002,139.401917,140.745117,140.745117,0.0
