number,Date,Price,High,Low
0,"Nov 21, 2018",1.1371,1.141,1.1366
1,"Nov 20, 2018",1.1372,1.1472,1.1359
2,"Nov 19, 2018",1.1453,1.1467,1.1393
3,"Nov 16, 2018",1.142,1.1423,1.132
4,"Nov 15, 2018",1.1328,1.1364,1.1271
5,"Nov 14, 2018",1.131,1.1349,1.1262
6,"Nov 13, 2018",1.1291,1.1296,1.1216
7,"Nov 12, 2018",1.1218,1.1333,1.1214
8,"Nov 09, 2018",1.1336,1.1371,1.1315
9,"Nov 08, 2018",1.1363,1.1448,1.1352
10,"Nov 07, 2018",1.1426,1.1502,1.1395
11,"Nov 06, 2018",1.1427,1.144,1.1389
12,"Nov 05, 2018",1.1407,1.1425,1.1356
13,"Nov 02, 2018",1.1387,1.1458,1.1372
14,"Nov 01, 2018",1.1409,1.1426,1.1306
15,"Oct 31, 2018",1.1312,1.1363,1.1301
16,"Oct 30, 2018",1.1344,1.1387,1.1338
17,"Oct 29, 2018",1.1373,1.1418,1.1361
18,"Oct 26, 2018",1.1403,1.1422,1.1334
19,"Oct 25, 2018",1.1376,1.1434,1.1355
20,"Oct 24, 2018",1.1392,1.1477,1.1378
21,"Oct 23, 2018",1.1471,1.1495,1.1438
22,"Oct 22, 2018",1.1465,1.1552,1.1455
23,"Oct 19, 2018",1.1515,1.1536,1.1433
24,"Oct 18, 2018",1.1453,1.1528,1.1448
25,"Oct 17, 2018",1.1501,1.1585,1.1495
26,"Oct 16, 2018",1.1575,1.1623,1.1564
27,"Oct 15, 2018",1.1579,1.1608,1.1537
28,"Oct 12, 2018",1.1563,1.1611,1.1534
29,"Oct 11, 2018",1.1594,1.16,1.1517
30,"Oct 10, 2018",1.152,1.1547,1.1479
31,"Oct 09, 2018",1.149,1.1504,1.143
32,"Oct 08, 2018",1.1492,1.1536,1.1459
33,"Oct 05, 2018",1.1524,1.155,1.1483
34,"Oct 04, 2018",1.1515,1.1543,1.1464
35,"Oct 03, 2018",1.1478,1.1595,1.1465
36,"Oct 02, 2018",1.1548,1.1582,1.1506
37,"Oct 01, 2018",1.1578,1.163,1.1563
38,"Sep 28, 2018",1.1609,1.1652,1.1567
39,"Sep 27, 2018",1.1641,1.1759,1.1637
40,"Sep 26, 2018",1.174,1.1799,1.1726
41,"Sep 25, 2018",1.1772,1.1793,1.173
42,"Sep 24, 2018",1.1748,1.1817,1.1723
43,"Sep 21, 2018",1.175,1.1804,1.1731
44,"Sep 20, 2018",1.1777,1.1786,1.1665
45,"Sep 19, 2018",1.1673,1.1716,1.1648
46,"Sep 18, 2018",1.1667,1.1726,1.1651
47,"Sep 17, 2018",1.1683,1.1699,1.1617
48,"Sep 14, 2018",1.163,1.1724,1.1619
49,"Sep 13, 2018",1.169,1.1703,1.1608
50,"Sep 12, 2018",1.1626,1.1651,1.157
51,"Sep 11, 2018",1.1607,1.1645,1.1565
52,"Sep 10, 2018",1.1594,1.1617,1.1526
