date,EURclose
2014-11-07,0.8025
2014-11-09,0.8021
2014-11-10,0.8046
2014-11-11,0.8015
2014-11-12,0.8044
2014-11-13,0.8013
2014-11-14,0.7982
2014-11-15,0.7982
2014-11-16,0.7986
2014-11-17,0.8029
2014-11-18,0.7977
2014-11-19,0.7968
2014-11-20,0.7971
2014-11-21,0.807
2014-11-23,0.808
2014-11-24,0.8036
2014-11-25,0.8014
2014-11-26,0.7993
2014-11-27,0.8022
2014-11-28,0.8028
2014-11-29,0.8028
2014-11-30,0.8031
2014-12-01,0.8015
2014-12-02,0.8073
2014-12-03,0.8123
2014-12-04,0.8076
2014-12-05,0.8136
2014-12-06,0.8136
2014-12-07,0.8136
2014-12-08,0.8117
2014-12-09,0.8077
2014-12-10,0.8031
2014-12-11,0.8058
2014-12-12,0.802
2014-12-13,0.802
2014-12-14,0.8013
2014-12-15,0.8035
2014-12-16,0.799
2014-12-17,0.8107
2014-12-18,0.8135
2014-12-19,0.8175
2014-12-20,0.8175
2014-12-21,0.818
2014-12-22,0.8175
2014-12-23,0.8213
2014-12-24,0.8191
2014-12-25,0.8181
2014-12-26,0.8208
2014-12-30,0.8223
2014-12-31,0.8262
2015-01-01,0.8261
2015-01-02,0.8333
2015-01-03,0.8333
2015-01-04,0.8367
2015-01-05,0.8378
2015-01-06,0.8421
2015-01-07,0.8448
2015-01-08,0.8479
2015-01-09,0.844
2015-01-11,0.8424
2015-01-12,0.845
2015-01-13,0.8489
2015-01-14,0.848
2015-01-15,0.8597
2015-01-16,0.8644
2015-01-17,0.8644
2015-01-18,0.8644
2015-01-19,0.8615
2015-01-20,0.8651
2015-01-21,0.8606
2015-01-22,0.8797
2015-01-23,0.8921
2015-01-25,0.8967
2015-01-26,0.8897
2015-01-27,0.8791
2015-01-28,0.8866
2015-01-29,0.8826
2015-01-30,0.8857
2015-02-01,0.8836
2015-02-02,0.8818
2015-02-03,0.872
2015-02-04,0.882
2015-02-05,0.8708
2015-02-06,0.8836
2015-02-07,0.8836
2015-02-08,0.8839
2015-02-09,0.8826
2015-02-10,0.8833
2015-02-11,0.8824
2015-02-12,0.8766
2015-02-13,0.8784
2015-02-14,0.8784
2015-02-15,0.877
2015-02-16,0.8811
2015-02-17,0.8761
2015-02-18,0.8768
2015-02-19,0.8796
2015-02-20,0.8785
2015-02-22,0.8783
2015-02-23,0.8818
2015-02-24,0.8815
2015-02-25,0.8797
2015-02-26,0.893
2015-02-27,0.8927
2015-02-28,0.893
2015-03-01,0.894
2015-03-02,0.8942
2015-03-03,0.8941
2015-03-04,0.9022
2015-03-05,0.9062
2015-03-06,0.9225
2015-03-07,0.9225
2015-03-08,0.9226
2015-03-09,0.9216
2015-03-10,0.9355
2015-03-11,0.9475
2015-03-12,0.9411
2015-03-13,0.9518
2015-03-14,0.9518
2015-03-15,0.9523
2015-03-16,0.9459
2015-03-17,0.9437
2015-03-18,0.9233
2015-03-19,0.9371
2015-03-20,0.9244
2015-03-22,0.9224
2015-03-23,0.9122
2015-03-24,0.9162
2015-03-25,0.9118
2015-03-26,0.9189
2015-03-27,0.9182
2015-03-29,0.9183
2015-03-30,0.923
2015-03-31,0.9309
2015-04-01,0.9283
2015-04-02,0.9192
2015-04-03,0.9116
2015-04-05,0.9085
2015-04-06,0.9144
2015-04-07,0.9236
2015-04-08,0.927
2015-04-09,0.9375
2015-04-10,0.9422
2015-04-12,0.942
2015-04-13,0.9456
2015-04-14,0.9387
2015-04-15,0.9364
2015-04-16,0.929
2015-04-17,0.925
2015-04-19,0.9261
2015-04-20,0.931
2015-04-21,0.9311
2015-04-22,0.9326
2015-04-23,0.9244
2015-04-24,0.9193
2015-04-26,0.9203
2015-04-27,0.9192
2015-04-28,0.9108
2015-04-29,0.8993
2015-04-30,0.8914
2015-05-01,0.8928
2015-05-03,0.8937
2015-05-04,0.897
2015-05-05,0.8943
2015-05-06,0.8813
2015-05-07,0.889
2015-05-08,0.8903
2015-05-10,0.893
2015-05-11,0.8966
2015-05-12,0.8914
2015-05-13,0.8803
2015-05-14,0.8767
2015-05-15,0.8734
2015-05-17,0.8739
2015-05-18,0.8835
2015-05-19,0.8969
2015-05-20,0.901
2015-05-21,0.8997
2015-05-22,0.9078
2015-05-24,0.9088
2015-05-25,0.9106
2015-05-26,0.9183
2015-05-27,0.9167
2015-05-28,0.9114
2015-05-29,0.9091
2015-05-31,0.9117
2015-06-01,0.9148
2015-06-02,0.8965
2015-06-03,0.8876
2015-06-04,0.8923
2015-06-05,0.8997
2015-06-07,0.9
2015-06-08,0.8861
2015-06-09,0.8868
2015-06-10,0.8832
2015-06-11,0.8894
2015-06-12,0.8878
2015-06-14,0.8906
2015-06-15,0.8866
2015-06-16,0.8889
2015-06-17,0.8815
2015-06-18,0.8791
2015-06-19,0.8805
2015-06-21,0.8799
2015-06-22,0.8815
2015-06-23,0.8948
2015-06-24,0.8922
2015-06-25,0.8925
2015-06-26,0.8956
2015-06-28,0.9096
2015-06-29,0.8914
2015-06-30,0.8983
2015-07-01,0.9051
2015-07-02,0.9014
2015-07-03,0.8992
2015-07-05,0.9068
2015-07-06,0.9043
2015-07-07,0.9085
2015-07-08,0.9026
2015-07-09,0.9029
2015-07-10,0.896
2015-07-12,0.8989
2015-07-13,0.9082
2015-07-14,0.9078
2015-07-15,0.9121
2015-07-16,0.9189
2015-07-17,0.923
2015-07-19,0.9224
2015-07-20,0.9232
2015-07-21,0.9141
2015-07-22,0.9147
2015-07-23,0.9102
2015-07-24,0.9105
2015-07-26,0.9109
2015-07-27,0.9018
2015-07-28,0.9038
2015-07-29,0.9098
2015-07-30,0.9146
2015-07-31,0.9103
2015-08-02,0.9109
2015-08-03,0.9127
2015-08-04,0.9181
2015-08-05,0.917
2015-08-06,0.9148
2015-08-07,0.9116
2015-08-09,0.9117
2015-08-10,0.9074
2015-08-11,0.9051
2015-08-12,0.8961
2015-08-13,0.8962
2015-08-14,0.9
2015-08-16,0.9002
2015-08-17,0.9026
2015-08-18,0.9065
2015-08-19,0.8994
2015-08-20,0.8899
2015-08-21,0.8783
2015-08-23,0.8776
2015-08-24,0.8619
2015-08-25,0.8672
2015-08-26,0.8816
2015-08-27,0.8893
2015-08-28,0.894
2015-08-30,0.8927
2015-08-31,0.8911
2015-09-01,0.8846
2015-09-02,0.891
2015-09-03,0.8991
2015-09-04,0.897
2015-09-06,0.897
2015-09-07,0.8949
2015-09-08,0.892
2015-09-09,0.8912
2015-09-10,0.8856
2015-09-11,0.8816
2015-09-13,0.8813
2015-09-14,0.8839
2015-09-15,0.8869
2015-09-16,0.8854
2015-09-17,0.8757
2015-09-18,0.8838
2015-09-20,0.885
2015-09-21,0.8937
2015-09-22,0.8981
2015-09-23,0.8934
2015-09-24,0.8944
2015-09-25,0.893
2015-09-27,0.8932
2015-09-28,0.8899
2015-09-29,0.8881
2015-09-30,0.8948
2015-10-01,0.8933
2015-10-02,0.8918
2015-10-04,0.8914
2015-10-05,0.8933
2015-10-06,0.8873
2015-10-07,0.8898
2015-10-08,0.8856
2015-10-09,0.8805
2015-10-11,0.8799
2015-10-12,0.8803
2015-10-13,0.8779
2015-10-14,0.8713
2015-10-15,0.8788
2015-10-16,0.881
2015-10-18,0.8806
2015-10-19,0.8825
2015-10-20,0.8806
2015-10-21,0.8815
2015-10-22,0.9002
2015-10-23,0.9073
2015-10-25,0.9073
2015-10-26,0.9039
2015-10-27,0.9057
2015-10-28,0.9146
2015-10-29,0.9099
2015-10-30,0.9083
2015-11-01,0.9061
2015-11-02,0.9077
2015-11-03,0.912
2015-11-04,0.9199
2015-11-05,0.9185
2015-11-06,0.931
2015-11-08,0.9316
2015-11-09,0.9296
2015-11-10,0.9325
2015-11-11,0.9292
2015-11-12,0.9251
2015-11-13,0.9276
2015-11-15,0.9313
2015-11-16,0.9358
2015-11-17,0.9391
2015-11-18,0.9378
2015-11-19,0.9318
2015-11-20,0.9391
2015-11-22,0.9394
2015-11-23,0.9399
2015-11-24,0.9391
2015-11-25,0.9412
2015-11-26,0.9426
2015-11-27,0.944
2015-11-29,0.9437
2015-11-30,0.9451
2015-12-01,0.941
2015-12-02,0.9424
2015-12-03,0.9149
2015-12-04,0.9185
2015-12-06,0.9193
2015-12-07,0.9229
2015-12-08,0.9177
2015-12-09,0.9075
2015-12-10,0.9138
2015-12-11,0.9096
2015-12-13,0.9113
2015-12-14,0.9088
2015-12-15,0.9145
2015-12-16,0.9178
2015-12-17,0.9228
2015-12-18,0.9201
2015-12-20,0.9208
2015-12-21,0.9163
2015-12-22,0.913
2015-12-23,0.9166
2015-12-24,0.9117
2015-12-25,0.9108
2015-12-27,0.912
2015-12-28,0.911
2015-12-29,0.9152
2015-12-30,0.915
2015-12-31,0.9217
2016-01-01,0.9204
2016-01-03,0.92
2016-01-04,0.9231
2016-01-05,0.9296
2016-01-06,0.9277
2016-01-07,0.9153
2016-01-08,0.9147
2016-01-09,0.9147
2016-01-10,0.9132
