date,GBPclose
2014-11-07,0.6299
2014-11-08,0.6299
2014-11-09,0.6294
2014-11-10,0.6308
2014-11-11,0.628
2014-11-12,0.634
2014-11-13,0.6364
2014-11-14,0.638
2014-11-15,0.638
2014-11-16,0.638
2014-11-17,0.6393
2014-11-18,0.6399
2014-11-19,0.6373
2014-11-20,0.637
2014-11-21,0.6384
2014-11-22,0.6384
2014-11-23,0.6388
2014-11-24,0.6366
2014-11-25,0.6364
2014-11-26,0.6328
2014-11-27,0.6358
2014-11-28,0.6388
2014-11-29,0.6388
2014-11-30,0.6394
2014-12-01,0.6353
2014-12-02,0.6392
2014-12-03,0.6373
2014-12-04,0.6378
2014-12-05,0.6415
2014-12-06,0.6415
2014-12-07,0.6422
2014-12-08,0.6386
2014-12-09,0.6378
2014-12-10,0.636
2014-12-11,0.6355
2014-12-12,0.636
2014-12-13,0.636
2014-12-14,0.6354
2014-12-15,0.639
2014-12-16,0.6348
2014-12-17,0.6421
2014-12-18,0.638
2014-12-19,0.6396
2014-12-20,0.6396
2014-12-21,0.6398
2014-12-22,0.6414
2014-12-23,0.6441
2014-12-24,0.6427
2014-12-25,0.6421
2014-12-26,0.6423
2014-12-30,0.6424
2014-12-31,0.6418
2015-01-01,0.6415
2015-01-02,0.652
2015-01-03,0.652
2015-01-04,0.6543
2015-01-05,0.6554
2015-01-06,0.6602
2015-01-07,0.6617
2015-01-08,0.6629
2015-01-09,0.6596
2015-01-11,0.658
2015-01-12,0.6591
2015-01-13,0.6592
2015-01-14,0.6562
2015-01-15,0.6585
2015-01-16,0.6596
2015-01-17,0.6596
2015-01-18,0.6606
2015-01-19,0.6618
2015-01-20,0.6599
2015-01-21,0.6601
2015-01-22,0.666
2015-01-23,0.6669
2015-01-24,0.6669
2015-01-25,0.6662
2015-01-26,0.6628
2015-01-27,0.6581
2015-01-28,0.66
2015-01-29,0.6632
2015-01-30,0.6642
2015-01-31,0.6642
2015-02-01,0.6624
2015-02-02,0.6651
2015-02-03,0.6599
2015-02-04,0.6584
2015-02-05,0.6522
2015-02-06,0.6559
2015-02-08,0.656
2015-02-09,0.6571
2015-02-10,0.6553
2015-02-11,0.6559
2015-02-12,0.6501
2015-02-13,0.649
2015-02-14,0.649
2015-02-15,0.6485
2015-02-16,0.6508
2015-02-17,0.6514
2015-02-18,0.6475
2015-02-19,0.6484
2015-02-20,0.6489
2015-02-22,0.6494
2015-02-23,0.6468
2015-02-24,0.647
2015-02-25,0.6438
2015-02-26,0.6488
2015-02-27,0.6482
2015-02-28,0.6477
2015-03-01,0.6481
2015-03-02,0.6509
2015-03-03,0.6508
2015-03-04,0.6549
2015-03-05,0.6554
2015-03-06,0.6641
2015-03-08,0.6642
2015-03-09,0.6612
2015-03-10,0.6635
2015-03-11,0.6691
2015-03-12,0.6714
2015-03-13,0.678
2015-03-14,0.678
2015-03-15,0.6777
2015-03-16,0.6743
2015-03-17,0.6779
2015-03-18,0.6689
2015-03-19,0.6774
2015-03-20,0.6686
2015-03-22,0.6682
2015-03-23,0.6678
2015-03-24,0.6734
2015-03-25,0.6717
2015-03-26,0.6732
2015-03-27,0.6713
2015-03-29,0.671
2015-03-30,0.675
2015-03-31,0.6741
2015-04-01,0.6741
2015-04-02,0.6738
2015-04-03,0.6701
2015-04-05,0.67
2015-04-06,0.6714
2015-04-07,0.6744
2015-04-08,0.6719
2015-04-09,0.6795
2015-04-10,0.6839
2015-04-12,0.6827
2015-04-13,0.6814
2015-04-14,0.6766
2015-04-15,0.6742
2015-04-16,0.6695
2015-04-17,0.6683
2015-04-19,0.6686
2015-04-20,0.6708
2015-04-21,0.6697
2015-04-22,0.6649
2015-04-23,0.6641
2015-04-24,0.6583
2015-04-26,0.659
2015-04-27,0.6567
2015-04-28,0.652
2015-04-29,0.6481
2015-04-30,0.6515
2015-05-01,0.6604
2015-05-03,0.6599
2015-05-04,0.6615
2015-05-05,0.6591
2015-05-06,0.6561
2015-05-07,0.6498
2015-05-08,0.6484
2015-05-10,0.6477
2015-05-11,0.642
2015-05-12,0.6382
2015-05-13,0.6354
2015-05-14,0.6339
2015-05-15,0.6361
2015-05-17,0.6355
2015-05-18,0.6387
2015-05-19,0.6446
2015-05-20,0.6435
2015-05-21,0.6387
2015-05-22,0.6459
2015-05-24,0.6458
2015-05-25,0.6462
2015-05-26,0.6496
2015-05-27,0.6514
2015-05-28,0.6526
2015-05-29,0.6542
2015-05-31,0.6542
2015-06-01,0.6578
2015-06-02,0.6518
2015-06-03,0.6523
2015-06-04,0.6512
2015-06-05,0.655
2015-06-07,0.6549
2015-06-08,0.6518
2015-06-09,0.6501
2015-06-10,0.6448
2015-06-11,0.6447
2015-06-12,0.6424
2015-06-14,0.6426
2015-06-15,0.641
2015-06-16,0.6391
2015-06-17,0.6317
2015-06-18,0.6298
2015-06-19,0.6296
2015-06-21,0.63
2015-06-22,0.6319
2015-06-23,0.6357
2015-06-24,0.6366
2015-06-25,0.6349
2015-06-26,0.6349
2015-06-28,0.6365
2015-06-29,0.6358
2015-06-30,0.6375
2015-07-01,0.6407
2015-07-02,0.6406
2015-07-03,0.6422
2015-07-05,0.6426
2015-07-06,0.6408
2015-07-07,0.6468
2015-07-08,0.6506
2015-07-09,0.6503
2015-07-10,0.6446
2015-07-12,0.6451
2015-07-13,0.6456
2015-07-14,0.6396
2015-07-15,0.6397
2015-07-16,0.6407
2015-07-17,0.6409
2015-07-19,0.6407
2015-07-20,0.6424
2015-07-21,0.6428
2015-07-22,0.6404
2015-07-23,0.6444
2015-07-24,0.6446
2015-07-26,0.6445
2015-07-27,0.6427
2015-07-28,0.6405
2015-07-29,0.6408
2015-07-30,0.6411
2015-07-31,0.6401
2015-08-02,0.6399
2015-08-03,0.6415
2015-08-04,0.6424
2015-08-05,0.641
2015-08-06,0.6447
2015-08-07,0.6453
2015-08-09,0.6453
2015-08-10,0.6416
2015-08-11,0.6418
2015-08-12,0.6403
2015-08-13,0.6406
2015-08-14,0.6392
2015-08-16,0.639
2015-08-17,0.6417
2015-08-18,0.6386
2015-08-19,0.6378
2015-08-20,0.6374
2015-08-21,0.6371
2015-08-23,0.6375
2015-08-24,0.6348
2015-08-25,0.637
2015-08-26,0.6461
2015-08-27,0.6488
2015-08-28,0.6496
2015-08-30,0.6489
2015-08-31,0.6514
2015-09-01,0.6535
2015-09-02,0.6532
2015-09-03,0.6555
2015-09-04,0.6592
2015-09-06,0.6585
2015-09-07,0.6546
2015-09-08,0.6495
2015-09-09,0.6512
2015-09-10,0.6478
2015-09-11,0.6481
2015-09-13,0.6475
2015-09-14,0.6484
2015-09-15,0.6517
2015-09-16,0.6452
2015-09-17,0.6421
2015-09-18,0.6439
2015-09-20,0.6442
2015-09-21,0.6446
2015-09-22,0.6513
2015-09-23,0.6558
2015-09-24,0.6568
2015-09-25,0.6589
2015-09-27,0.6579
2015-09-28,0.6594
2015-09-29,0.6597
2015-09-30,0.6612
2015-10-01,0.6607
2015-10-02,0.6584
2015-10-04,0.6586
2015-10-05,0.6602
2015-10-06,0.6565
2015-10-07,0.6529
2015-10-08,0.6515
2015-10-09,0.6527
2015-10-11,0.6528
2015-10-12,0.6518
2015-10-13,0.6555
2015-10-14,0.6462
2015-10-15,0.6461
2015-10-16,0.6478
2015-10-18,0.6478
2015-10-19,0.6465
2015-10-20,0.6475
2015-10-21,0.6486
2015-10-22,0.6497
2015-10-23,0.6531
2015-10-25,0.6529
2015-10-26,0.6514
2015-10-27,0.6531
2015-10-28,0.6548
2015-10-29,0.6528
2015-10-30,0.6479
2015-11-01,0.6472
2015-11-02,0.6486
2015-11-03,0.6485
2015-11-04,0.6498
2015-11-05,0.6573
2015-11-06,0.6645
2015-11-08,0.6645
2015-11-09,0.6615
2015-11-10,0.6613
2015-11-11,0.6571
2015-11-12,0.6566
2015-11-13,0.6561
2015-11-15,0.6568
2015-11-16,0.6578
2015-11-17,0.6571
2015-11-18,0.6566
2015-11-19,0.6541
2015-11-20,0.6584
2015-11-22,0.6585
2015-11-23,0.6614
2015-11-24,0.6628
2015-11-25,0.6611
2015-11-26,0.6623
2015-11-27,0.6652
2015-11-29,0.6651
2015-11-30,0.6642
2015-12-01,0.6632
2015-12-02,0.6691
2015-12-03,0.6606
2015-12-04,0.6618
2015-12-06,0.6619
2015-12-07,0.6645
2015-12-08,0.6661
2015-12-09,0.6587
2015-12-10,0.6597
2015-12-11,0.657
2015-12-13,0.6583
2015-12-14,0.6591
2015-12-15,0.6649
2015-12-16,0.6673
2015-12-17,0.6708
2015-12-18,0.6714
2015-12-20,0.6707
2015-12-21,0.6718
2015-12-22,0.6744
2015-12-23,0.6724
2015-12-24,0.6704
2015-12-25,0.6699
2015-12-27,0.67
2015-12-28,0.6719
2015-12-29,0.6751
2015-12-30,0.6752
2015-12-31,0.6778
2016-01-01,0.6787
2016-01-03,0.6784
2016-01-04,0.6795
2016-01-05,0.6813
2016-01-06,0.6835
2016-01-07,0.6836
2016-01-08,0.689
2016-01-09,0.689
2016-01-10,0.6894
2016-01-11,0.6873
2016-01-12,0.6931
2016-01-13,0.6936
2016-01-14,0.6936
2016-01-15,0.7016
2016-01-17,0.7013
2016-01-18,0.7015
2016-01-19,0.706
2016-01-20,0.7048
2016-01-21,0.703
2016-01-22,0.7008
2016-01-24,0.7009
2016-01-25,0.702
2016-01-26,0.6969
2016-01-27,0.702
2016-01-28,0.6965
2016-01-29,0.7018
2016-01-31,0.7025
2016-02-01,0.6935
2016-02-02,0.6939
2016-02-03,0.6855
2016-02-04,0.6859
2016-02-05,0.6893
2016-02-07,0.6896
2016-02-08,0.693
2016-02-09,0.6912
2016-02-10,0.6879
2016-02-11,0.6905
2016-02-12,0.6895
2016-02-14,0.6893
2016-02-15,0.6926
2016-02-16,0.6991
2016-02-17,0.7
2016-02-18,0.6978
2016-02-19,0.6941
2016-02-21,0.6993
2016-02-22,0.7068
2016-02-23,0.7131
2016-02-24,0.7179
2016-02-25,0.7164
2016-02-26,0.7209
2016-02-28,0.7214
2016-02-29,0.7181
2016-03-01,0.7168
2016-03-02,0.7103
2016-03-03,0.7056
2016-03-04,0.7026
2016-03-06,0.7031
2016-03-07,0.7013
2016-03-08,0.7037
2016-03-09,0.7036
2016-03-10,0.7
2016-03-11,0.6954
2016-03-13,0.6955
2016-03-14,0.6993
2016-03-15,0.7063
2016-03-16,0.7018
2016-03-17,0.6908
2016-03-18,0.6907
2016-03-20,0.6914
2016-03-21,0.6958
2016-03-22,0.7034
2016-03-23,0.7084
2016-03-24,0.7067
2016-03-25,0.7081
2016-03-27,0.7076
2016-03-28,0.7014
2016-03-29,0.6951
2016-03-30,0.6956
2016-03-31,0.6959
2016-04-01,0.7027
2016-04-03,0.7033
2016-04-04,0.7011
2016-04-05,0.7064
2016-04-06,0.7078
2016-04-07,0.7114
2016-04-08,0.7075
2016-04-10,0.7079
2016-04-11,0.7028
2016-04-12,0.7009
2016-04-13,0.7031
2016-04-14,0.7068
2016-04-15,0.7036
2016-04-18,0.7006
2016-04-19,0.6949
2016-04-20,0.6975
2016-04-21,0.6984
2016-04-22,0.6942
2016-04-24,0.6919
2016-04-25,0.6904
2016-04-26,0.6859
2016-04-27,0.6877
2016-04-28,0.6845
2016-04-29,0.6845
2016-05-01,0.6853
2016-05-02,0.6818
2016-05-03,0.6875
2016-05-04,0.6898
2016-05-05,0.6902
2016-05-06,0.6931
2016-05-08,0.693
2016-05-09,0.6939
2016-05-10,0.6922
2016-05-11,0.6926
2016-05-12,0.6922
2016-05-13,0.6963
2016-05-15,0.6967
2016-05-16,0.6939
2016-05-17,0.6917
2016-05-18,0.6848
2016-05-19,0.6847
2016-05-20,0.6893
2016-05-22,0.6897
2016-05-23,0.6905
2016-05-24,0.684
2016-05-25,0.6803
2016-05-26,0.6819
2016-05-27,0.6839
2016-05-29,0.6842
2016-05-30,0.6835
2016-05-31,0.69
2016-06-01,0.6937
2016-06-02,0.6938
2016-06-03,0.6889
2016-06-05,0.6913
2016-06-06,0.6919
2016-06-07,0.6878
2016-06-08,0.6891
2016-06-09,0.6914
2016-06-10,0.7012
2016-06-12,0.7029
2016-06-13,0.7044
2016-06-14,0.7087
2016-06-15,0.7044
2016-06-16,0.7037
2016-06-17,0.6959
2016-06-18,0.6961
2016-06-19,0.6904
2016-06-20,0.6815
2016-06-21,0.6819
2016-06-22,0.6759
2016-06-23,0.6713
2016-06-24,0.7309
2016-06-26,0.7425
2016-06-27,0.7562
2016-06-28,0.7487
2016-06-29,0.7435
2016-06-30,0.751
2016-07-01,0.7535
2016-07-02,0.7531
2016-07-03,0.7527
2016-07-04,0.7528
2016-07-05,0.7696
2016-07-06,0.7754
2016-07-07,0.7759
2016-07-08,0.7722
2016-07-10,0.7729
2016-07-11,0.7695
2016-07-12,0.7545
2016-07-13,0.7629
2016-07-14,0.7496
2016-07-15,0.7587
2016-07-17,0.7556
2016-07-18,0.7534
2016-07-19,0.7628
2016-07-20,0.756
2016-07-21,0.756
2016-07-22,0.7628
2016-07-24,0.761
2016-07-25,0.7631
2016-07-26,0.7609
2016-07-27,0.7566
2016-07-28,0.7597
2016-07-29,0.7558
2016-07-31,0.7563
2016-08-01,0.7584
2016-08-02,0.7495
2016-08-03,0.7502
2016-08-04,0.7625
2016-08-05,0.7649
2016-08-06,0.765
2016-08-07,0.765
2016-08-08,0.7669
2016-08-09,0.7689
2016-08-10,0.768
2016-08-11,0.7717
2016-08-12,0.7738
2016-08-14,0.7747
2016-08-15,0.7757
2016-08-16,0.7665
2016-08-17,0.7667
2016-08-18,0.7597
2016-08-19,0.7648
2016-08-21,0.765
2016-08-22,0.7613
2016-08-23,0.7577
2016-08-24,0.7557
2016-08-25,0.7582
2016-08-26,0.7612
2016-08-28,0.7617
2016-08-29,0.763
2016-08-30,0.7643
2016-08-31,0.7607
2016-09-01,0.7534
2016-09-02,0.7522
2016-09-04,0.7522
2016-09-05,0.7518
2016-09-06,0.7449
2016-09-07,0.7497
2016-09-08,0.7519
2016-09-09,0.7533
2016-09-11,0.7543
2016-09-12,0.7499
2016-09-13,0.758
2016-09-14,0.7547
2016-09-15,0.755
2016-09-16,0.7691
2016-09-18,0.7681
2016-09-19,0.7669
2016-09-20,0.77
2016-09-21,0.7672
2016-09-22,0.7645
2016-09-23,0.7713
2016-09-25,0.771
2016-09-26,0.7711
2016-09-27,0.7681
2016-09-28,0.7681
2016-09-29,0.771
2016-09-30,0.7705
2016-10-02,0.773
2016-10-03,0.7782
2016-10-04,0.7853
2016-10-05,0.7842
2016-10-06,0.7928
2016-10-07,0.804
2016-10-09,0.8041
2016-10-10,0.8089
2016-10-11,0.8167
2016-10-12,0.82
2016-10-13,0.8169
2016-10-14,0.8205
2016-10-15,0.8202
2016-10-16,0.822
2016-10-17,0.8204
2016-10-18,0.8131
2016-10-19,0.8137
2016-10-20,0.816
2016-10-21,0.8176
2016-10-22,0.8172
2016-10-23,0.8183
2016-10-24,0.8184
2016-10-25,0.8211
2016-10-26,0.8174
2016-10-27,0.8224
2016-10-28,0.8204
2016-10-30,0.82
