date,JPYclose
2001-05-08,121.34
2001-05-09,122.21
2001-05-10,122.58
2001-05-11,122.58
2001-05-14,123.26
2001-05-15,123.4
2001-05-16,123.5
2001-05-17,122.49
2001-05-18,123.61
2001-05-21,122.56
2001-05-22,122.7
2001-05-23,119.78
2001-05-24,120.03
2001-05-25,120.72
2001-05-28,121.04
2001-05-29,120.07
2001-05-30,120.3
2001-05-31,119.12
2001-06-01,119.05
2001-06-04,119.28
2001-06-05,120.3
2001-06-06,120.34
2001-06-07,119.98
2001-06-08,120.96
2001-06-11,121.9
2001-06-12,121.83
2001-06-13,122.07
2001-06-14,121.37
2001-06-15,123.1
2001-06-18,123.31
2001-06-19,123.07
2001-06-20,123.68
2001-06-21,124.41
2001-06-22,124.37
2001-06-25,123.81
2001-06-26,123.72
2001-06-27,124.25
2001-06-28,124.69
2001-06-29,124.76
2001-07-02,124.38
2001-07-03,124.39
2001-07-04,124.39
2001-07-05,125.73
2001-07-06,126.01
2001-07-09,125.41
2001-07-10,125.33
2001-07-11,124.34
2001-07-12,123.76
2001-07-13,124.86
2001-07-16,125.43
2001-07-17,125.08
2001-07-18,123.93
2001-07-19,123.37
2001-07-20,122.78
2001-07-23,124.42
2001-07-24,123.89
2001-07-25,123.65
2001-07-26,123.7
2001-07-27,123.61
2001-07-30,125.1
2001-07-31,125.05
2001-08-01,124.61
2001-08-02,123.76
2001-08-03,123.65
2001-08-06,123.84
2001-08-07,123.45
2001-08-08,123.38
2001-08-09,121.8
2001-08-10,122.05
2001-08-13,122.43
2001-08-14,121.66
2001-08-15,119.61
2001-08-16,119.83
2001-08-17,120.25
2001-08-20,120.7
2001-08-21,119.75
2001-08-22,120.43
2001-08-23,119.76
2001-08-24,120.12
2001-08-27,119.91
2001-08-28,120.12
2001-08-29,120.16
2001-08-30,119.33
2001-08-31,118.81
2001-09-03,118.76
2001-09-04,119.47
2001-09-05,120.69
2001-09-06,121.01
2001-09-07,120.12
2001-09-10,120.88
2001-09-11,119.34
2001-09-12,119.46
2001-09-13,118.67
2001-09-14,117.09
2001-09-17,117.83
2001-09-18,117.2
2001-09-19,117.43
2001-09-20,116.02
2001-09-21,116.77
2001-09-24,117.56
2001-09-25,117.58
2001-09-26,117.84
2001-09-27,119.6
2001-09-28,119.47
2001-10-01,120.19
2001-10-02,120.84
2001-10-03,120.75
2001-10-04,120.63
2001-10-05,120.37
2001-10-08,119.78
2001-10-09,120.25
2001-10-10,120.35
2001-10-11,121.4
2001-10-12,121.37
2001-10-15,120.94
2001-10-16,121.28
2001-10-17,121.23
2001-10-18,121.13
2001-10-19,121.12
2001-10-22,122.45
2001-10-23,122.7
2001-10-24,122.86
2001-10-25,122.9
2001-10-26,122.71
2001-10-29,122.03
2001-10-30,121.99
2001-10-31,122.31
2001-11-01,121.93
2001-11-02,121.76
2001-11-05,121.77
2001-11-06,121.04
2001-11-07,120.88
2001-11-08,120.04
2001-11-09,120.28
2001-11-12,120.41
2001-11-13,121.52
2001-11-14,121.51
2001-11-15,122.41
2001-11-16,122.86
2001-11-19,123.25
2001-11-20,122.65
2001-11-21,123.09
2001-11-22,123.91
2001-11-23,124.29
2001-11-26,124.1
2001-11-27,123.99
2001-11-28,123.02
2001-11-29,123.71
2001-11-30,123.47
2001-12-03,123.97
2001-12-04,124.11
2001-12-05,124.24
2001-12-06,124.68
2001-12-07,125.56
2001-12-10,126.15
2001-12-11,126.16
2001-12-12,126.19
2001-12-13,126.18
2001-12-14,127.26
2001-12-17,127.5
2001-12-18,127.78
2001-12-19,128.06
2001-12-20,128.54
2001-12-21,129.64
2001-12-24,129.87
