date,aaplclose,aaplvolume
1998-01-02,0.5084,6411700.0
1998-01-05,0.4968,5820300.0
1998-01-06,0.5925,16182800.0
1998-01-07,0.5475,9300200.0
1998-01-08,0.569,6910900.0
1998-01-09,0.569,7915600.0
1998-01-12,0.5709,4610700.0
1998-01-13,0.61,5686200.0
1998-01-14,0.6178,5261300.0
1998-01-15,0.6003,4993500.0
1998-01-16,0.5884,2199600.0
1998-01-20,0.5963,2156800.0
1998-01-21,0.5916,1698300.0
1998-01-22,0.6022,2944000.0
1998-01-23,0.61,2081800.0
1998-01-26,0.6081,1307500.0
1998-01-27,0.5981,1002100.0
1998-01-28,0.6003,1349300.0
1998-01-29,0.5787,1891800.0
1998-01-30,0.5728,1450400.0
1998-02-02,0.5534,5685200.0
1998-02-03,0.5728,3594800.0
1998-02-04,0.5709,1519600.0
1998-02-05,0.5728,2127400.0
1998-02-06,0.5787,1806600.0
1998-02-09,0.6003,4416700.0
1998-02-10,0.6081,3768000.0
1998-02-11,0.5944,1889900.0
1998-02-12,0.606,1819200.0
1998-02-13,0.61,1857100.0
1998-02-17,0.6138,1631700.0
1998-02-18,0.6432,4416000.0
1998-02-19,0.6394,3568400.0
1998-02-20,0.6257,2905500.0
1998-02-23,0.6648,4263300.0
1998-02-24,0.6666,4076700.0
1998-02-25,0.6979,6363100.0
1998-02-26,0.7352,5313700.0
1998-02-27,0.7389,4639300.0
1998-03-02,0.7117,3575400.0
1998-03-03,0.7233,2982800.0
1998-03-04,0.7646,7302000.0
1998-03-05,0.7527,6027900.0
1998-03-06,0.7646,5950600.0
1998-03-09,0.7117,5133300.0
1998-03-10,0.7527,6365200.0
1998-03-11,0.8171,10842300.0
1998-03-12,0.8446,6646100.0
1998-03-13,0.8484,5055000.0
1998-03-16,0.8349,3592500.0
1998-03-17,0.824,3663000.0
1998-03-18,0.8428,2473200.0
1998-03-19,0.8368,1429100.0
1998-03-20,0.8249,1923900.0
1998-03-23,0.8171,3703000.0
1998-03-24,0.8759,6035100.0
1998-03-25,0.8497,3458700.0
1998-03-26,0.8309,1812200.0
1998-03-27,0.8428,2282100.0
1998-03-30,0.8584,2238400.0
1998-03-31,0.8603,2383000.0
1998-04-01,0.8603,1668600.0
1998-04-02,0.8543,1734900.0
1998-04-03,0.8465,1813100.0
1998-04-06,0.8212,3103500.0
1998-04-07,0.7977,2613400.0
1998-04-08,0.7821,2010700.0
1998-04-09,0.8015,1520600.0
1998-04-13,0.8271,2574100.0
1998-04-14,0.8428,2927200.0
1998-04-15,0.8584,4977800.0
1998-04-16,0.8953,16410300.0
1998-04-17,0.8741,5287200.0
1998-04-20,0.9072,4623000.0
1998-04-21,0.9072,3107400.0
1998-04-22,0.8603,2544200.0
1998-04-23,0.8662,4243700.0
1998-04-24,0.8741,1924500.0
1998-04-27,0.8681,3658900.0
1998-04-28,0.8428,2117600.0
1998-04-29,0.8446,1692300.0
1998-04-30,0.8562,1606700.0
1998-05-01,0.8759,1643500.0
1998-05-04,0.9091,5099500.0
1998-05-05,0.9288,3743600.0
1998-05-06,0.9482,8009000.0
1998-05-07,0.9444,4936600.0
1998-05-08,0.9523,2418000.0
1998-05-11,0.9679,5937700.0
1998-05-12,0.9422,2301900.0
1998-05-13,0.9523,2807300.0
1998-05-14,0.9404,1452500.0
1998-05-15,0.9247,2433800.0
1998-05-18,0.8916,2074900.0
1998-05-19,0.9188,1948800.0
1998-05-20,0.9247,1698000.0
1998-05-21,0.9031,1169600.0
1998-05-22,0.8719,2380300.0
1998-05-26,0.8349,2783700.0
1998-05-27,0.8368,3305300.0
1998-05-28,0.8584,2665100.0
1998-05-29,0.8328,1935000.0
1998-06-01,0.8212,2854400.0
1998-06-02,0.8406,1600900.0
1998-06-03,0.8231,1295900.0
1998-06-04,0.8387,1394100.0
1998-06-05,0.8406,1101100.0
1998-06-08,0.8525,1130600.0
1998-06-09,0.8838,2462000.0
1998-06-10,0.8778,2046700.0
1998-06-11,0.87,1608200.0
1998-06-12,0.8797,1998700.0
1998-06-15,0.8603,1220200.0
1998-06-16,0.8759,1157900.0
1998-06-17,0.8797,1671200.0
1998-06-18,0.8543,1071400.0
1998-06-19,0.8465,1228200.0
1998-06-22,0.8562,1201500.0
1998-06-23,0.87,2063000.0
1998-06-24,0.8838,2444600.0
1998-06-25,0.8934,1712600.0
1998-06-26,0.8819,992100.0
1998-06-29,0.8975,1483800.0
1998-06-30,0.8975,1170200.0
1998-07-01,0.9366,2804600.0
1998-07-02,0.9072,2661700.0
1998-07-06,0.9501,2419200.0
