date,googlclose,googlvolume
2004-08-19,50.3228,44659000.0
2004-08-20,54.3227,22834300.0
2004-08-23,54.8694,18256100.0
2004-08-24,52.5974,15247300.0
2004-08-25,53.1641,9188600.0
2004-08-26,54.1221,7094800.0
2004-08-27,53.2393,6211700.0
2004-08-30,51.1629,5196700.0
2004-08-31,51.3435,4917800.0
2004-09-01,50.2802,9138200.0
2004-09-02,50.9122,15118600.0
2004-09-03,50.1598,5152400.0
2004-09-07,50.9473,5847500.0
2004-09-08,51.3084,4985600.0
2004-09-09,51.3134,4061700.0
2004-09-10,52.8281,8698800.0
2004-09-13,53.9164,7844100.0
2004-09-14,55.9176,10828900.0
2004-09-15,56.1734,10713000.0
2004-09-16,57.1615,9266300.0
2004-09-17,58.9269,9472500.0
2004-09-20,59.8648,10628700.0
2004-09-21,59.1024,7228700.0
2004-09-22,59.3733,7581200.0
2004-09-23,60.5971,8535600.0
2004-09-24,60.1005,9123400.0
2004-09-27,59.3131,7066100.0
2004-09-28,63.6264,16929000.0
2004-09-29,65.7429,30516400.0
2004-09-30,65.0007,13758000.0
2004-10-01,66.4953,15124800.0
2004-10-04,67.7391,13022700.0
2004-10-05,69.3992,14973200.0
2004-10-06,68.7522,13381400.0
2004-10-07,69.64,14115000.0
2004-10-08,69.0782,11069500.0
2004-10-11,67.8394,10472100.0
2004-10-12,68.9127,11665500.0
2004-10-13,70.6681,19766200.0
2004-10-14,71.2198,10442100.0
2004-10-15,72.2781,13194700.0
2004-10-18,74.8109,14036300.0
2004-10-19,74.199,18109800.0
2004-10-20,70.4625,22722600.0
2004-10-21,74.9213,29149800.0
2004-10-22,86.482,73710000.0
2004-10-25,93.9901,65462800.0
2004-10-26,91.1815,44569500.0
2004-10-27,93.2729,26686200.0
2004-10-28,96.9493,29663900.0
2004-10-29,95.6152,42282600.0
2004-11-01,98.3185,24425300.0
2004-11-02,97.7367,22669900.0
2004-11-03,96.1317,27749600.0
2004-11-04,92.636,28790300.0
2004-11-05,84.9372,39626500.0
2004-11-08,86.5421,22361200.0
2004-11-09,84.6112,22106200.0
2004-11-10,84.1899,21266700.0
2004-11-11,91.7934,29941000.0
2004-11-12,91.2818,33458700.0
2004-11-15,92.7212,23779100.0
2004-11-16,86.5396,41792900.0
2004-11-17,86.5171,36229500.0
2004-11-18,84.0294,33225900.0
2004-11-19,84.9623,17521000.0
2004-11-22,82.8056,24711600.0
2004-11-23,84.0194,24801700.0
2004-11-24,87.6506,30531400.0
2004-11-26,89.9727,12947200.0
2004-11-29,90.8053,21311800.0
2004-11-30,91.2717,15384600.0
2004-12-01,90.2586,15712400.0
2004-12-02,89.9778,12509200.0
2004-12-03,90.4793,11726600.0
2004-12-06,88.4179,12495400.0
2004-12-07,85.9804,13728000.0
2004-12-08,85.2532,15068500.0
2004-12-09,86.9835,15292600.0
2004-12-10,86.0908,8625700.0
2004-12-13,85.4889,9627500.0
2004-12-14,89.6217,22154600.0
2004-12-15,90.1683,22919000.0
2004-12-16,88.5082,17128400.0
2004-12-17,90.3188,14757600.0
2004-12-20,92.7965,19649300.0
2004-12-21,92.1595,11021500.0
2004-12-22,93.4384,7806100.0
2004-12-23,94.2409,7221900.0
2004-12-27,96.2521,12195900.0
2004-12-28,96.6784,8283300.0
2004-12-29,96.7487,5350800.0
2004-12-30,99.1059,11796700.0
2004-12-31,96.6935,15321600.0
2005-01-03,101.6688,31656700.0
2005-01-04,97.5511,27484200.0
2005-01-05,97.0546,16456700.0
2005-01-06,94.5669,20753400.0
