date,tslaclose,tslavolume
2010-06-29,23.89,18766300.0
2010-06-30,23.83,17187100.0
2010-07-01,21.96,8218800.0
2010-07-02,19.2,5139800.0
2010-07-06,16.11,6866900.0
2010-07-07,15.8,6921700.0
2010-07-08,17.46,7711400.0
2010-07-09,17.4,4050600.0
2010-07-12,17.05,2202500.0
2010-07-13,18.14,2680100.0
2010-07-14,19.84,4195200.0
2010-07-15,19.89,3739800.0
2010-07-16,20.64,2621300.0
2010-07-19,21.91,2486500.0
2010-07-20,20.3,1825300.0
2010-07-21,20.22,1252500.0
2010-07-22,21.0,957800.0
2010-07-23,21.29,653600.0
2010-07-26,20.95,922200.0
2010-07-27,20.55,619700.0
2010-07-28,20.72,467200.0
2010-07-29,20.35,616000.0
2010-07-30,19.94,426900.0
2010-08-02,20.92,718100.0
2010-08-03,21.95,1230500.0
2010-08-04,21.26,913000.0
2010-08-05,20.45,796200.0
2010-08-06,19.59,741900.0
2010-08-09,19.6,812700.0
2010-08-10,19.03,1281300.0
2010-08-11,17.9,797600.0
2010-08-12,17.6,691000.0
2010-08-13,18.32,634000.0
2010-08-16,18.78,485800.0
2010-08-17,19.15,447900.0
2010-08-18,18.77,601300.0
2010-08-19,18.79,579100.0
2010-08-20,19.1,296000.0
2010-08-23,20.13,1088100.0
2010-08-24,19.2,673100.0
2010-08-25,19.9,503300.0
2010-08-26,19.75,433800.0
2010-08-27,19.7,379600.0
2010-08-30,19.87,732800.0
2010-08-31,19.48,201100.0
2010-09-01,20.45,494900.0
2010-09-02,21.06,487100.0
2010-09-03,21.05,434600.0
2010-09-07,20.54,243400.0
2010-09-08,20.9,288400.0
2010-09-09,20.71,376200.0
2010-09-10,20.17,386600.0
2010-09-13,20.72,360800.0
2010-09-14,21.12,654700.0
2010-09-15,21.98,684600.0
2010-09-16,20.94,2684500.0
2010-09-17,20.23,1198500.0
2010-09-20,21.055,947500.0
2010-09-21,20.77,796000.0
2010-09-22,19.87,962900.0
2010-09-23,19.56,668100.0
2010-09-24,20.1,578900.0
2010-09-27,20.53,418600.0
2010-09-28,21.4,1214500.0
2010-09-29,21.98,1969300.0
2010-09-30,20.405,2195800.0
2010-10-01,20.6,597700.0
2010-10-04,20.99,643600.0
2010-10-05,21.12,332000.0
2010-10-06,20.46,313400.0
2010-10-07,20.43,141000.0
2010-10-08,20.43,267800.0
2010-10-11,20.24,171200.0
2010-10-12,20.24,244000.0
2010-10-13,20.54,318200.0
2010-10-14,20.75,294800.0
2010-10-15,20.54,284700.0
2010-10-18,20.23,162800.0
2010-10-19,20.05,245200.0
2010-10-20,20.65,312500.0
2010-10-21,20.75,417100.0
2010-10-22,20.72,161100.0
2010-10-25,20.85,118500.0
2010-10-26,21.36,660900.0
2010-10-27,21.0,356500.0
2010-10-28,21.19,224200.0
2010-10-29,21.84,280600.0
2010-11-01,21.41,455800.0
2010-11-02,21.25,322500.0
2010-11-03,21.77,372600.0
2010-11-04,24.9,1874000.0
2010-11-05,24.44,1011000.0
2010-11-08,24.98,509500.0
2010-11-09,24.63,956400.0
2010-11-10,29.36,3060500.0
2010-11-11,28.035,1945300.0
2010-11-12,29.84,2729100.0
2010-11-15,30.8,2622900.0
2010-11-16,29.67,1347600.0
2010-11-17,29.49,750000.0
2010-11-18,29.89,956100.0
2010-11-19,30.99,1150500.0
2010-11-22,33.4,1529700.0
2010-11-23,34.57,1577800.0
2010-11-24,35.47,1425000.0
2010-11-26,35.32,350600.0
2010-11-29,34.33,1145600.0
2010-11-30,35.33,2222600.0
2010-12-01,34.35,1299200.0
2010-12-02,32.35,2007000.0
2010-12-03,31.49,1160100.0
2010-12-06,30.31,1274400.0
2010-12-07,31.56,1311300.0
2010-12-08,32.37,660000.0
2010-12-09,32.05,406000.0
2010-12-10,31.52,429400.0
2010-12-13,30.55,410400.0
2010-12-14,28.53,1765700.0
2010-12-15,29.6,742900.0
2010-12-16,30.81,790100.0
2010-12-17,31.36,813000.0
2010-12-20,31.7,523400.0
2010-12-21,32.26,777700.0
2010-12-22,32.63,833300.0
2010-12-23,30.09,1552600.0
2010-12-27,25.549,9301900.0
2010-12-28,26.41,4056300.0
2010-12-29,27.73,3319200.0
2010-12-30,26.5,2041100.0
2010-12-31,26.63,1417900.0
2011-01-03,26.62,1283000.0
2011-01-04,26.67,1187400.0
2011-01-05,26.83,1446700.0
2011-01-06,27.88,2061200.0
2011-01-07,28.24,2247900.0
2011-01-10,28.45,1342700.0
2011-01-11,26.96,1710200.0
2011-01-12,26.96,964400.0
2011-01-13,26.22,723600.0
2011-01-14,25.75,1192000.0
2011-01-18,25.64,1621700.0
2011-01-19,24.03,2371500.0
2011-01-20,22.62,2279900.0
2011-01-21,23.04,1217000.0
2011-01-24,24.49,1645100.0
2011-01-25,24.68,1271500.0
2011-01-26,24.75,1079900.0
2011-01-27,24.92,895700.0
2011-01-28,24.01,1048400.0
2011-01-31,24.1,830300.0
2011-02-01,23.91,707800.0
2011-02-02,23.94,569500.0
2011-02-03,23.63,512000.0
2011-02-04,23.46,544000.0
2011-02-07,23.07,895100.0
2011-02-08,24.49,3504900.0
2011-02-09,23.21,2635600.0
2011-02-10,23.215,836100.0
2011-02-11,23.25,634500.0
2011-02-14,23.08,1283100.0
